"DATE","Year","Month","Day","Tmin","Tmax","Prec","ssp","gcm","scenario_year","yday","season","id"
"2000-08-27 12:00:00",2000,8,27,10.2,28.84,0,"ssp126","ACCESS-CM2","2075",240,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-28 12:00:00",2000,8,28,8.4,30.83,6.61,"ssp126","ACCESS-CM2","2075",241,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-29 12:00:00",2000,8,29,11.28,25.17,0,"ssp126","ACCESS-CM2","2075",242,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-30 12:00:00",2000,8,30,10.55,22.81,7.31,"ssp126","ACCESS-CM2","2075",243,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-31 12:00:00",2000,8,31,11.36,23.13,3.93,"ssp126","ACCESS-CM2","2075",244,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-01 12:00:00",2000,9,1,9.97,17.88,0,"ssp126","ACCESS-CM2","2075",245,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-02 12:00:00",2000,9,2,11.39,20.08,0,"ssp126","ACCESS-CM2","2075",246,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-03 12:00:00",2000,9,3,14.24,18.12,0.21,"ssp126","ACCESS-CM2","2075",247,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-04 12:00:00",2000,9,4,11.83,21.84,6.5,"ssp126","ACCESS-CM2","2075",248,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-05 12:00:00",2000,9,5,9.83,27.91,12.07,"ssp126","ACCESS-CM2","2075",249,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-06 12:00:00",2000,9,6,13.83,31.38,0,"ssp126","ACCESS-CM2","2075",250,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-07 12:00:00",2000,9,7,14.61,28.18,0,"ssp126","ACCESS-CM2","2075",251,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-08 12:00:00",2000,9,8,13.03,25.43,0,"ssp126","ACCESS-CM2","2075",252,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-09 12:00:00",2000,9,9,14.8,21.95,5.69,"ssp126","ACCESS-CM2","2075",253,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-10 12:00:00",2000,9,10,11.95,23.25,0.17,"ssp126","ACCESS-CM2","2075",254,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-11 12:00:00",2000,9,11,9.47,24.21,8.05,"ssp126","ACCESS-CM2","2075",255,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-12 12:00:00",2000,9,12,7.18,23.64,1.67,"ssp126","ACCESS-CM2","2075",256,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-13 12:00:00",2000,9,13,12.64,21.32,5.56,"ssp126","ACCESS-CM2","2075",257,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-14 12:00:00",2000,9,14,10.26,26.14,0.24,"ssp126","ACCESS-CM2","2075",258,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-15 12:00:00",2000,9,15,9.77,21.07,4.74,"ssp126","ACCESS-CM2","2075",259,2001,"ssp126--ACCESS-CM2--2075"
